time,Purity
2023-03-13 19:14:34,100.9892
2023-03-13 19:14:39,101.0429
2023-03-13 19:14:44,100.9663
2023-03-13 19:14:49,100.9374
2023-03-13 19:14:54,100.9653
2023-03-13 19:14:59,100.9902
2023-03-13 19:15:04,100.9703
2023-03-13 19:15:09,100.9633
2023-03-13 19:15:14,100.9643
2023-03-13 19:15:19,101.0131
2023-03-13 19:15:24,100.9733
2023-03-13 19:15:29,100.9853
2023-03-13 19:15:34,100.9504
2023-03-13 19:15:39,101.0042
2023-03-13 19:15:44,101.0221
2023-03-13 19:15:49,101.0052
2023-03-13 19:15:54,100.9564
2023-03-13 19:16:00,100.9942
2023-03-13 19:16:05,101.0221
2023-03-13 19:16:10,101.0509
2023-03-13 19:16:15,100.9494
2023-03-13 19:16:20,100.9613
2023-03-13 19:16:25,100.9594
2023-03-13 19:16:30,100.9564
2023-03-13 19:16:35,100.9783
2023-03-13 19:16:40,100.9733
2023-03-13 19:16:45,101.0181
2023-03-13 19:16:50,100.9922
2023-03-13 19:16:55,100.9663
2023-03-13 19:17:00,101.0945
2023-03-13 19:17:05,100.9354
2023-03-13 19:17:10,100.9892
2023-03-13 19:17:15,100.9604
2023-03-13 19:17:20,100.9873
2023-03-13 19:17:25,100.9623
2023-03-13 19:17:30,100.9713
2023-03-13 19:17:36,100.9673
2023-03-13 19:17:41,100.9892
2023-03-13 19:17:46,100.9922
2023-03-13 19:17:51,100.9703
2023-03-13 19:17:56,100.9663
2023-03-13 19:18:01,100.9574
2023-03-13 19:18:06,100.9813
2023-03-13 19:18:11,101.0012
2023-03-13 19:18:16,100.9713
2023-03-13 19:18:21,100.9604
2023-03-13 19:18:26,100.9653
2023-03-13 19:18:31,100.9962
2023-03-13 19:18:36,101.0022
2023-03-13 19:18:41,100.9633
2023-03-13 19:18:46,100.9902
2023-03-13 19:18:51,100.9823
2023-03-13 19:18:56,100.9783
2023-03-13 19:19:01,100.9982
2023-03-13 19:19:06,101.0221
2023-03-13 19:19:12,100.9713
2023-03-13 19:19:17,101.0042
2023-03-13 19:19:22,100.9564
2023-03-13 19:19:27,101.0618
2023-03-13 19:19:32,101.0002
2023-03-13 19:19:37,100.9873
2023-03-13 19:19:42,100.9693
2023-03-13 19:19:47,101.037
2023-03-13 19:19:52,100.9823
2023-03-13 19:19:57,100.9673
2023-03-13 19:20:02,100.9813
2023-03-13 19:20:07,101.0171
2023-03-13 19:20:12,100.9733
2023-03-13 19:20:17,101.0022
2023-03-13 19:20:22,101.0747
2023-03-13 19:20:27,100.9843
2023-03-13 19:20:32,100.9783
2023-03-13 19:20:37,100.9803
2023-03-13 19:20:42,100.9653
2023-03-13 19:20:47,100.9574
2023-03-13 19:20:53,100.9713
2023-03-13 19:20:58,100.9962
2023-03-13 19:21:03,101.0231
2023-03-13 19:21:08,100.9733
2023-03-13 19:21:13,100.9922
2023-03-13 19:21:18,100.9922
2023-03-13 19:21:23,100.9753
2023-03-13 19:21:28,100.9594
2023-03-13 19:21:33,100.9813
2023-03-13 19:21:38,100.9604
2023-03-13 19:21:43,100.9773
2023-03-13 19:21:48,100.9743
2023-03-13 19:21:53,101.0101
2023-03-13 19:21:58,100.9882
2023-03-13 19:22:03,101.0052
2023-03-13 19:22:08,101.0022
2023-03-13 19:22:13,100.9813
2023-03-13 19:22:18,100.9992
2023-03-13 19:22:23,100.9524
2023-03-13 19:22:28,100.9783
2023-03-13 19:22:33,100.9584
2023-03-13 19:22:39,100.9703
2023-03-13 19:22:44,100.9653
2023-03-13 19:22:49,100.9574
2023-03-13 19:22:54,100.9554
2023-03-13 19:22:59,100.9753
2023-03-13 19:23:04,100.9813
2023-03-13 19:23:09,100.9683
2023-03-13 19:23:14,100.9594
2023-03-13 19:23:19,100.9584
2023-03-13 19:23:24,100.9594
2023-03-13 19:23:29,100.9594
2023-03-13 19:23:34,100.9604
2023-03-13 19:23:39,100.9633
2023-03-13 19:23:44,100.9594
2023-03-13 19:23:49,100.9204
2023-03-13 19:23:54,100.9594
2023-03-13 19:23:59,100.9414
2023-03-13 19:24:04,100.9833
2023-03-13 19:24:09,100.9554
2023-03-13 19:24:15,100.9962
2023-03-13 19:24:20,100.9992
2023-03-13 19:24:25,100.9604
2023-03-13 19:24:30,100.9653
2023-03-13 19:24:35,100.9932
2023-03-13 19:24:40,100.9584
2023-03-13 19:24:45,100.9952
2023-03-13 19:24:50,100.9683
2023-03-13 19:24:55,100.9803
2023-03-13 19:25:00,100.9723
2023-03-13 19:25:05,100.9952
2023-03-13 19:25:10,100.9504
2023-03-13 19:25:15,101.0042
2023-03-13 19:25:20,101.0071
2023-03-13 19:25:25,101.0151
2023-03-13 19:25:30,101.0578
2023-03-13 19:25:35,100.9643
2023-03-13 19:25:40,101.0945
2023-03-13 19:25:45,100.9643
2023-03-13 19:25:51,100.9942
2023-03-13 19:25:56,101.036
2023-03-13 19:26:01,101.0767
2023-03-13 19:26:06,100.9783
2023-03-13 19:26:11,100.9703
2023-03-13 19:26:16,100.9613
2023-03-13 19:26:21,100.9284
2023-03-13 19:26:26,100.9713
2023-03-13 19:26:31,100.9783
2023-03-13 19:26:36,100.9902
2023-03-13 19:26:41,101.0042
2023-03-13 19:26:46,100.9753
2023-03-13 19:26:51,100.9763
2023-03-13 19:26:56,101.027
2023-03-13 19:27:01,100.9713
2023-03-13 19:27:06,100.9922
2023-03-13 19:27:11,101.0161
2023-03-13 19:27:16,100.9584
2023-03-13 19:27:21,101.0032
2023-03-13 19:27:27,100.9863
2023-03-13 19:27:32,100.9723
2023-03-13 19:27:37,100.9653
2023-03-13 19:27:42,100.9604
2023-03-13 19:27:47,100.9643
2023-03-13 19:27:52,101.0161
2023-03-13 19:27:57,101.0549
2023-03-13 19:28:02,100.9922
2023-03-13 19:28:07,100.9703
2023-03-13 19:28:12,101.0091
2023-03-13 19:28:17,100.9892
2023-03-13 19:28:22,100.9793
2023-03-13 19:28:27,100.9653
2023-03-13 19:28:32,100.9843
2023-03-13 19:28:37,100.9663
2023-03-13 19:28:42,101.0032
2023-03-13 19:28:47,100.9723
2023-03-13 19:28:52,100.9274
2023-03-13 19:28:57,100.9564
2023-03-13 19:29:03,100.9733
2023-03-13 19:29:08,101.0231
2023-03-13 19:29:13,101.0042
2023-03-13 19:29:18,100.9424
2023-03-13 19:29:23,100.9494
2023-03-13 19:29:28,100.9534
2023-03-13 19:29:33,100.9663
2023-03-13 19:29:38,100.9604
2023-03-13 19:29:43,100.9604
2023-03-13 19:29:48,100.9673
2023-03-13 19:29:53,100.9474
2023-03-13 19:29:58,100.9912
2023-03-13 19:30:03,100.9713
2023-03-13 19:30:08,100.9244
2023-03-13 19:30:13,100.9294
2023-03-13 19:30:18,101.0012
2023-03-13 19:30:23,100.9623
2023-03-13 19:30:28,100.9554
2023-03-13 19:30:33,100.9653
2023-03-13 19:30:38,100.9803
2023-03-13 19:30:44,100.9524
2023-03-13 19:30:49,100.9504
2023-03-13 19:30:54,100.9723
2023-03-13 19:30:59,100.9524
2023-03-13 19:31:04,100.9494
2023-03-13 19:31:09,101.0757
2023-03-13 19:31:14,100.9544
2023-03-13 19:31:19,100.9564
2023-03-13 19:31:24,100.9992
2023-03-13 19:31:29,100.9922
2023-03-13 19:31:34,100.9613
2023-03-13 19:31:39,100.9763
2023-03-13 19:31:44,101.0042
2023-03-13 19:31:49,100.9494
2023-03-13 19:31:54,100.9703
2023-03-13 19:31:59,100.9284
2023-03-13 19:32:04,100.9594
2023-03-13 19:32:09,100.9673
2023-03-13 19:32:14,100.9494
2023-03-13 19:32:20,100.9643
2023-03-13 19:32:25,100.9643
2023-03-13 19:32:30,100.9713
2023-03-13 19:32:35,100.9584
2023-03-13 19:32:40,101.0071
2023-03-13 19:32:45,100.9623
2023-03-13 19:32:50,100.9863
2023-03-13 19:32:55,101.0032
2023-03-13 19:33:00,100.9843
2023-03-13 19:33:05,100.9813
2023-03-13 19:33:10,100.9892
