time,Air Velocity (m/s),BGA He Percent (%),BGA Sound Speed (m/s),Fixed Distance (m),He Velocity (m/s),Measured Distance (m),Mixture Velocity (m/s),Percent He (%),Pressure (PSIG),Temperature (K)
2023-04-13 13:45:30.640,,93.10691833496094,844.979736328125,,,0.32886573672294617,805.19189453125,93.97667646408081,0.11754703521728516,
2023-04-13 13:45:00.689,331,93.1463394165039,845.703125,0.800000011920929,973,0.32857638597488403,805.9009399414062,94.01028752326965,0.12077999114990234,295.70001220703125
2023-04-13 13:44:30.891,,93.18937683105469,846.5712280273438,,,0.32826387882232666,806.6681518554688,94.04656291007996,0.11916255950927734,
2023-04-13 13:44:00.966,331,93.22627258300781,847.2945556640625,0.800000011920929,973,0.3278587758541107,807.6648559570312,94.09351944923401,0.11916255950927734,295.70001220703125
2023-04-13 13:43:30.560,,93.26570129394531,848.0179443359375,,,0.3276504576206207,808.1784057617188,94.11765336990356,0.11916255950927734,
2023-04-13 13:43:00.701,331,93.3087387084961,848.885986328125,0.800000011920929,973,0.3272685110569,809.12158203125,94.161856174469,0.11916255950927734,295.70001220703125
2023-04-13 13:42:30.785,,93.34996795654297,849.6817626953125,,,0.3269444406032562,809.923583984375,94.19931173324585,0.11754703521728516,
2023-04-13 13:42:00.894,331,93.38975524902344,850.4774780273438,0.800000011920929,973,0.3266550898551941,810.6410522460938,94.23273205757141,0.11754703521728516,295.6000061035156
2023-04-13 13:41:30.558,,93.427734375,851.2008056640625,,,0.3263310194015503,811.446044921875,94.27012205123901,0.11754703521728516,
2023-04-13 13:41:00.718,331,93.46824645996094,851.9965209960938,0.800000011920929,973,0.3260185122489929,812.223876953125,94.30614709854126,0.11754703521728516,295.6000061035156
2023-04-13 13:40:30.823,,93.51020050048828,852.8645629882812,,,0.32570600509643555,813.003173828125,94.34213638305664,0.11754703521728516,
2023-04-13 13:40:00.906,331,93.54853820800781,853.6602783203125,0.800000011920929,973,0.3254166543483734,813.72607421875,94.3754255771637,0.11916255950927734,295.6000061035156
2023-04-13 13:39:30.603,,93.59085845947266,854.4559936523438,,,0.32510414719581604,814.50830078125,94.41134929656982,0.11916255950927734,
2023-04-13 13:39:00.693,331,93.62666320800781,855.1793823242188,0.800000011920929,973,0.3248032331466675,815.2628784179688,94.44590210914612,0.11916255950927734,295.6000061035156
2023-04-13 13:38:30.840,,93.6700668334961,856.1198120117188,,,0.32445600628852844,816.1353759765625,94.48573589324951,0.12077999114990234,
2023-04-13 13:38:00.799,331,93.70804595947266,856.8432006835938,0.800000011920929,973,0.32414352893829346,816.922119140625,94.52155232429504,0.12239551544189453,295.6000061035156
2023-04-13 13:37:30.587,,93.74638366699219,857.638916015625,,,0.32381942868232727,817.73974609375,94.55865621566772,0.12239551544189453,
2023-04-13 13:37:00.689,331,93.78689575195312,858.4346313476562,0.800000011920929,973,0.3235069513320923,818.5296020507812,94.59439516067505,0.12239551544189453,295.6000061035156
2023-04-13 13:36:30.805,,93.82523345947266,859.2303466796875,,,0.32320600748062134,819.291748046875,94.62878704071045,0.12401294708251953,
2023-04-13 13:36:00.522,331,93.86320495605469,860.0260620117188,0.800000011920929,973,0.3228703737258911,820.1434326171875,94.66710686683655,0.12401294708251953,295.70001220703125
2023-04-13 13:35:31.008,,93.90408325195312,860.82177734375,,,0.32255786657333374,820.9380493164062,94.70275044441223,0.12563037872314453,
2023-04-13 13:35:00.700,331,93.94169616699219,861.6174926757812,0.800000011920929,973,0.3222569525241852,821.70458984375,94.73702907562256,0.12563037872314453,295.6000061035156
2023-04-13 13:34:30.791,,93.984375,862.4855346679688,,,0.32195600867271423,822.47265625,94.77128982543945,0.12563037872314453,
2023-04-13 13:34:00.891,331,94.02127075195312,863.2088623046875,0.800000011920929,973,0.321724534034729,823.064453125,94.79761719703674,0.12724590301513672,295.6000061035156
2023-04-13 13:33:31.001,,94.05815887451172,864.004638671875,,,0.32141202688217163,823.8646850585938,94.83312964439392,0.12563037872314453,
2023-04-13 13:33:00.596,331,94.10228729248047,864.9450073242188,0.800000011920929,973,0.3210763931274414,824.7258911132812,94.87122893333435,0.12724590301513672,295.6000061035156
2023-04-13 13:32:30.708,,94.13845825195312,865.6683959960938,,,0.32077547907829285,825.4995727539062,94.90536451339722,0.12886333465576172,
2023-04-13 13:32:00.790,331,94.17823791503906,866.5364379882812,0.800000011920929,973,0.32043981552124023,826.3642578125,94.94339227676392,0.12886333465576172,295.6000061035156
2023-04-13 13:31:30.967,,94.21585845947266,867.2598876953125,,,0.3200925886631012,827.2606811523438,94.98268961906433,0.13048076629638672,
2023-04-13 13:31:00.576,331,94.2560043334961,868.1278686523438,0.800000011920929,973,0.31979164481163025,828.0391845703125,95.0167179107666,0.12886333465576172,295.5
2023-04-13 13:30:30.719,,94.29615020751953,868.9959716796875,,,0.3195023238658905,828.7890014648438,95.04939913749695,0.13048076629638672,
2023-04-13 13:30:00.790,331,94.33304595947266,869.7192993164062,0.800000011920929,973,0.3191319406032562,829.7509155273438,95.09119987487793,0.1337137222290039,295.6000061035156
2023-04-13 13:29:30.906,,94.37030029296875,870.58740234375,,,0.31881943345069885,830.564208984375,95.12642621994019,0.1337137222290039,
2023-04-13 13:29:00.615,331,94.41117095947266,871.3831176757812,0.800000011920929,973,0.31861111521720886,831.1072998046875,95.14988660812378,0.1353292465209961,295.6000061035156
2023-04-13 13:28:30.733,,94.44986724853516,872.2511596679688,,,0.3182060122489929,832.1653442382812,95.195472240448,0.1369466781616211,
2023-04-13 13:28:00.798,331,94.49002075195312,873.1192626953125,0.800000011920929,973,0.31789350509643555,832.9833984375,95.23059129714966,0.1369466781616211,295.5
2023-04-13 13:27:30.916,,94.52980041503906,873.9149780273438,,,0.317592591047287,833.7726440429688,95.2643871307373,0.1385641098022461,
2023-04-13 13:27:00.604,331,94.56886291503906,874.782958984375,0.800000011920929,973,0.3172685205936432,834.6243286132812,95.30074000358582,0.1385641098022461,295.5
2023-04-13 13:26:30.720,,94.60684204101562,875.5786743164062,,,0.3169560134410858,835.4472045898438,95.33575773239136,0.14017963409423828,
2023-04-13 13:26:00.847,331,94.64517974853516,876.44677734375,0.800000011920929,973,0.31664350628852844,836.271728515625,95.37074565887451,0.14341449737548828,295.5
2023-04-13 13:25:30.929,,94.68207550048828,877.170166015625,,,0.31633102893829346,837.0978393554688,95.4056978225708,0.14503002166748047,
2023-04-13 13:25:00.595,331,94.72186279296875,878.0381469726562,0.800000011920929,973,0.3160185217857361,837.9255981445312,95.44061422348022,0.14503002166748047,295.6000061035156
2023-04-13 13:24:30.756,,94.75875091552734,878.90625,,,0.31568285822868347,838.8165893554688,95.47808170318604,0.14826488494873047,
2023-04-13 13:24:00.790,331,94.79817962646484,879.7019653320312,0.800000011920929,973,0.3153703510761261,839.6477661132812,95.51292657852173,0.14988136291503906,295.5
2023-04-13 13:23:30.932,,94.83651733398438,880.5700073242188,,,0.3150462806224823,840.511474609375,95.54902911186218,0.15149784088134766,
